Country,ABRV,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2004,2003,2002,2001,2000,1998,1997,1996
Senegal,SEN,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Singapore,SGP,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Hybrid Regime
Sierra Leone,SLE,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
El Salvador,SLV,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Somalia,SOM,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
S�o Tom� and Principe,STP,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Suriname,SUR,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Slovak Republic,SVK,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Hybrid Regime
Slovenia,SVN,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Hybrid Regime,Hybrid Regime,Democracy,Hybrid Regime,Flawed Democracy,Democracy
Sweden,SWE,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy
Swaziland,SWZ,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Seychelles,SYC,Hybrid Regime,Flawed Democracy,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,No Data,No Data,No Data,No Data,No Data,No Data
Syrian Arab Republic,SYR,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Chad,TCD,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Togo,TGO,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Thailand,THA,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy
Tajikistan,TJK,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Turkmenistan,TKM,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Timor-Leste,TMP,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Trinidad and Tobago,TTO,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Hybrid Regime,Flawed Democracy
Tunisia,TUN,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Turkey,TUR,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
"Taiwan, China",TWN,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Democracy,Hybrid Regime,Hybrid Regime,Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime
Tanzania,TZA,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Uganda,UGA,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Ukraine,UKR,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Uruguay,URY,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
United States,USA,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy
Uzbekistan,UZB,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
"Venezuela, RB",VEN,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Vietnam,VNM,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
West Bank and Gaza,WBG,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
"Jersey, Channel Islands",JEY,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Yemen,YEM,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Serbia,SRB,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
South Africa,ZAF,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
Dem. Rep. Congo,ZAR,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data
Zambia,ZMB,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Zimbabwe,ZWE,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
